"LPA 4630, ES 4630",course-create,New Course: LPA 4630 / ES 4630,"Science, Technology and Innovation Policy"
MBA 6460,course-create,New Course: MBA 6460,Strategic Use of Analytics
MBA 6490,course-create,New Course: MBA 6490,Predictive Analytics II
MBA 6495,course-create,New Course: MBA 6495,"Data Management, Business Intelligence, and Analytics II"
MBA 6924,course-create,New Course: MBA 6924,Analytics Practicum
MDIA 3370,course-create,New Course: MDIA 3370,Critical Listening Skills & Technical Ear Training
MDIA 5230,course-create,New Course: MDIA 5230,Virtual Reality Production: Interactive
,,,
MFE 6945,course-create,New Course: MFE 6945,Financial Research Report
MGT 3270,course-create,New Course: MGT 3270,Sustainability and Supply Chain Management
MKT 4600,course-create,New Course: MKT 4600,Brand Management
MKT 4650,course-create,New Course: MKT 4650,New Product Development
"MPA 5630, ES 5630",course-create,New Course: MPA 5630 / ES 5630,"Science, Technology and Innovation Policy"
,,,
MUS 3670,course-create,New Course: MUS 3670,Early Childhood Music Education
,,,
,,,
,,,
,,,
,,,
NUTR 4970,course-create,New Course: NUTR 4970,Seminar in Environmental Nutrition
,,,
PCOE 5901,course-create,New Course: PCOE 5901,TEACHER QUALITY MATTERS: OHIO'S SEVEN STANDARDS FOR TEACHING
PT 8924,course-create,New Course: PT 8924,Extended Terminal Clinical Practicum
REC 4570,course-create,New Course: REC 4570 / REC 5570,Adventure Travel as a Social Enterprise
SASM 3180,course-create,New Course: SASM 3180,Sport Analytics
SASM 4010,course-create,New Course: SASM 4010,Advanced Event Management
SASM 4020,course-create,New Course: SASM 4020,Advanced Facility Management
SASM 4140,course-create,New Course: SASM 4140,Business of eSports
SASM 4193,course-create,New Course: SASM 4193,Sport and Environment
SASM 4475,course-create,New Course: SASM 4475,Sport Tourist Behavior
SASM 4915,course-create,New Course: SASM 4915,Sport Management Expedition
SETS 5120,course-create,New Course: SETS 5120,Elementary Setswana II
T3 4113,course-create,New Course: T3 4113 / BIOS 5113,Biological Pharmacology
T3 4480,course-create,New Course: T3 4480,
T3 4580,course-create,New Course: T3 4580,Applied Corporate Finance
,,,
THAR 5372,course-create,New Course: THAR 5372,Sound and Lighting Shop Management
THAR 5410,course-create,New Course: THAR 5410,Introduction to Theater Management
UC 1103,course-create,New Course: UC 1103,CAP Seminar for first year College Acheivement Program Students
UC 1160,course-create,New Course: UC 1160,College Reading and Study Skils
UC 2110C,course-create,New Course: UC 2110C,"UC 2110: Service-Learning Theory, Practice & Socio-Cultural Immersion"
UC 2130,course-create,New Course: UC 2130,Multicultural Peer Mentors & Administrative Assistants Seminar
UC 3100,course-create,New Course: UC 3100,Post-Baccalaureate Preparation Seminar
VICO 3010,course-create,New Course: VICO 3010 / VICO 5010,Communicating with Data Visualization
